# /lscratch1/kbferre/app-traces/mutrino/sparc/128/rank-000.txt
 delta	 tstmp
76	 1511284037137067
73	 1511284037137140
54	 1511284037137194
32	 1511284037137226
636951	 1511284037774177
1025638	 1511284038799815
15574	 1511284038815389
5023	 1511284038820412
528	 1511284038820940
98	 1511284038821038
107	 1511284038821145
91	 1511284038821236
108	 1511284038821344
124	 1511284038821468
118	 1511284038821586
636209	 1511284039457795
1033909	 1511284040491704
16177	 1511284040507881
5092	 1511284040512973
409	 1511284040513382
123	 1511284040513505
101	 1511284040513606
119	 1511284040513725
93	 1511284040513818
119	 1511284040513937
89	 1511284040514026
635928	 1511284041149954
1030378	 1511284042180332
6998	 1511284042187330
4974	 1511284042192304
714	 1511284042193018
132	 1511284042193150
94	 1511284042193244
108	 1511284042193352
83	 1511284042193435
105	 1511284042193540
92	 1511284042193632
636540	 1511284042830172
1024046	 1511284043854218
17090	 1511284043871308
5041	 1511284043876349
441	 1511284043876790
124	 1511284043876914
139	 1511284043877053
68	 1511284043877121
143	 1511284043877264
64	 1511284043877328
99	 1511284043877427
636429	 1511284044513856
1035172	 1511284045549028
4032	 1511284045553060
5114	 1511284045558174
487	 1511284045558661
114	 1511284045558775
126	 1511284045558901
96	 1511284045558997
109	 1511284045559106
101	 1511284045559207
119	 1511284045559326
636755	 1511284046196081
1019672	 1511284047215753
32625	 1511284047248378
5097	 1511284047253475
424	 1511284047253899
139	 1511284047254038
109	 1511284047254147
78	 1511284047254225
113	 1511284047254338
132	 1511284047254470
117	 1511284047254587
637044	 1511284047891631
1014987	 1511284048906618
20157	 1511284048926775
5133	 1511284048931908
388	 1511284048932296
108	 1511284048932404
129	 1511284048932533
115	 1511284048932648
108	 1511284048932756
116	 1511284048932872
87	 1511284048932959
636352	 1511284049569311
1019785	 1511284050589096
24985	 1511284050614081
5056	 1511284050619137
465	 1511284050619602
110	 1511284050619712
99	 1511284050619811
114	 1511284050619925
120	 1511284050620045
127	 1511284050620172
89	 1511284050620261
636618	 1511284051256879
1027486	 1511284052284365
12201	 1511284052296566
5028	 1511284052301594
547	 1511284052302141
103	 1511284052302244
92	 1511284052302336
132	 1511284052302468
92	 1511284052302560
159	 1511284052302719
84	 1511284052302803
637051	 1511284052939854
1041092	 1511284053980946
11050	 1511284053991996
5007	 1511284053997003
457	 1511284053997460
125	 1511284053997585
119	 1511284053997704
183	 1511284053997887
68	 1511284053997955
147	 1511284053998102
130	 1511284053998232
636446	 1511284054634678
1018898	 1511284055653576
11698	 1511284055665274
5157	 1511284055670431
333	 1511284055670764
118	 1511284055670882
157	 1511284055671039
105	 1511284055671144
122	 1511284055671266
132	 1511284055671398
180	 1511284055671578
636991	 1511284056308569
1023389	 1511284057331958
14574	 1511284057346532
4972	 1511284057351504
502	 1511284057352006
158	 1511284057352164
104	 1511284057352268
137	 1511284057352405
228	 1511284057352633
96	 1511284057352729
117	 1511284057352846
637054	 1511284057989900
1026041	 1511284059015941
21749	 1511284059037690
5168	 1511284059042858
293	 1511284059043151
141	 1511284059043292
100	 1511284059043392
213	 1511284059043605
140	 1511284059043745
227	 1511284059043972
96	 1511284059044068
637686	 1511284059681754
1022502	 1511284060704256
18928	 1511284060723184
5094	 1511284060728278
407	 1511284060728685
128	 1511284060728813
143	 1511284060728956
163	 1511284060729119
117	 1511284060729236
210	 1511284060729446
140	 1511284060729586
636712	 1511284061366298
1014026	 1511284062380324
20777	 1511284062401101
5048	 1511284062406149
698	 1511284062406847
137	 1511284062406984
148	 1511284062407132
159	 1511284062407291
143	 1511284062407434
121	 1511284062407555
151	 1511284062407706
636650	 1511284063044356
1028073	 1511284064072429
16558	 1511284064088987
5138	 1511284064094125
469	 1511284064094594
102	 1511284064094696
242	 1511284064094938
163	 1511284064095101
153	 1511284064095254
183	 1511284064095437
110	 1511284064095547
636929	 1511284064732476
1043811	 1511284065776287
7160	 1511284065783447
5042	 1511284065788489
480	 1511284065788969
115	 1511284065789084
85	 1511284065789169
213	 1511284065789382
150	 1511284065789532
158	 1511284065789690
211	 1511284065789901
636874	 1511284066426775
1030747	 1511284067457522
20807	 1511284067478329
4991	 1511284067483320
414	 1511284067483734
92	 1511284067483826
140	 1511284067483966
117	 1511284067484083
108	 1511284067484191
107	 1511284067484298
135	 1511284067484433
643431	 1511284068127864
1025763	 1511284069153627
12338	 1511284069165965
5048	 1511284069171013
2981	 1511284069173994
85	 1511284069174079
138	 1511284069174217
111	 1511284069174328
66	 1511284069174394
302	 1511284069174696
56	 1511284069174752
637414	 1511284069812166
1035890	 1511284070848056
17185	 1511284070865241
4971	 1511284070870212
