# /lscratch1/kbferre/app-traces/mutrino/cth-st/128/rank-000.txt
 delta	 tstmp
9	 1519431114367312
917	 1519431114368229
16	 1519431114368245
9	 1519431114368254
7	 1519431114368261
7	 1519431114368268
36	 1519431114368304
11	 1519431114368315
29	 1519431114368344
11	 1519431114368355
162	 1519431114368517
11	 1519431114368528
7	 1519431114368535
12	 1519431114368547
9	 1519431114368556
10	 1519431114368566
9	 1519431114368575
11	 1519431114368586
973	 1519431114369559
410	 1519431114369969
15	 1519431114369984
59	 1519431114370043
12	 1519431114370055
21	 1519431114370076
12	 1519431114370088
21	 1519431114370109
11	 1519431114370120
22	 1519431114370142
11	 1519431114370153
20	 1519431114370173
11	 1519431114370184
23	 1519431114370207
11	 1519431114370218
21	 1519431114370239
11	 1519431114370250
20	 1519431114370270
11	 1519431114370281
21	 1519431114370302
12	 1519431114370314
21	 1519431114370335
11	 1519431114370346
21	 1519431114370367
11	 1519431114370378
20	 1519431114370398
11	 1519431114370409
22	 1519431114370431
11	 1519431114370442
21	 1519431114370463
11	 1519431114370474
21	 1519431114370495
11	 1519431114370506
31	 1519431114370537
14	 1519431114370551
22	 1519431114370573
12	 1519431114370585
21	 1519431114370606
11	 1519431114370617
20	 1519431114370637
11	 1519431114370648
22	 1519431114370670
11	 1519431114370681
21	 1519431114370702
10	 1519431114370712
2746	 1519431114373458
80	 1519431114373538
11	 1519431114373549
10	 1519431114373559
7	 1519431114373566
39	 1519431114373605
9	 1519431114373614
17	 1519431114373631
8	 1519431114373639
47	 1519431114373686
11	 1519431114373697
37	 1519431114373734
9	 1519431114373743
15	 1519431114373758
16	 1519431114373774
76	 1519431114373850
11	 1519431114373861
38	 1519431114373899
10	 1519431114373909
16	 1519431114373925
9	 1519431114373934
8	 1519431114373942
7	 1519431114373949
207	 1519431114374156
11	 1519431114374167
37	 1519431114374204
9	 1519431114374213
15	 1519431114374228
7	 1519431114374235
70	 1519431114374305
11	 1519431114374316
173	 1519431114374489
426	 1519431114374915
12	 1519431114374927
32	 1519431114374959
10	 1519431114374969
308	 1519431114375277
15	 1519431114375292
19	 1519431114375311
8	 1519431114375319
305	 1519431114375624
410	 1519431114376034
2053	 1519431114378087
1043	 1519431114379130
279	 1519431114379409
2000	 1519431114381409
24	 1519431114381433
662	 1519431114382095
16	 1519431114382111
260	 1519431114382371
10	 1519431114382381
1529	 1519431114383910
1101	 1519431114385011
1041	 1519431114386052
18	 1519431114386070
11	 1519431114386081
8	 1519431114386089
291	 1519431114386380
14	 1519431114386394
36	 1519431114386430
9	 1519431114386439
10	 1519431114386449
16	 1519431114386465
9	 1519431114386474
333	 1519431114386807
14	 1519431114386821
17	 1519431114386838
8	 1519431114386846
10	 1519431114386856
9	 1519431114386865
9	 1519431114386874
9	 1519431114386883
757	 1519431114387640
1306	 1519431114388946
21	 1519431114388967
15	 1519431114388982
10	 1519431114388992
8	 1519431114389000
9	 1519431114389009
7	 1519431114389016
18	 1519431114389034
286	 1519431114389320
308	 1519431114389628
12	 1519431114389640
8	 1519431114389648
7	 1519431114389655
9	 1519431114389664
32	 1519431114389696
8	 1519431114389704
7	 1519431114389711
9	 1519431114389720
9	 1519431114389729
9	 1519431114389738
8	 1519431114389746
11	 1519431114389757
22	 1519431114389779
13	 1519431114389792
14	 1519431114389806
9	 1519431114389815
8	 1519431114389823
140	 1519431114389963
11	 1519431114389974
10	 1519431114389984
17	 1519431114390001
14	 1519431114390015
13	 1519431114390028
9	 1519431114390037
8	 1519431114390045
10	 1519431114390055
8	 1519431114390063
16	 1519431114390079
10	 1519431114390089
8	 1519431114390097
8	 1519431114390105
7	 1519431114390112
9	 1519431114390121
8	 1519431114390129
8	 1519431114390137
8	 1519431114390145
7	 1519431114390152
222	 1519431114390374
8	 1519431114390382
10	 1519431114390392
8	 1519431114390400
8	 1519431114390408
8	 1519431114390416
7	 1519431114390423
8	 1519431114390431
9	 1519431114390440
9	 1519431114390449
9	 1519431114390458
8	 1519431114390466
8	 1519431114390474
8	 1519431114390482
8	 1519431114390490
8	 1519431114390498
9	 1519431114390507
8	 1519431114390515
9	 1519431114390524
8	 1519431114390532
8	 1519431114390540
8	 1519431114390548
8	 1519431114390556
10	 1519431114390566
8	 1519431114390574
8	 1519431114390582
8	 1519431114390590
8	 1519431114390598
8	 1519431114390606
8	 1519431114390614
10	 1519431114390624
9	 1519431114390633
7	 1519431114390640
10	 1519431114390650
15	 1519431114390665
13	 1519431114390678
13	 1519431114390691
11	 1519431114390702
8	 1519431114390710
8	 1519431114390718
8	 1519431114390726
15	 1519431114390741
10	 1519431114390751
8	 1519431114390759
9	 1519431114390768
8	 1519431114390776
7	 1519431114390783
8	 1519431114390791
7	 1519431114390798
8	 1519431114390806
7	 1519431114390813
10	 1519431114390823
9	 1519431114390832
9	 1519431114390841
7	 1519431114390848
8	 1519431114390856
8	 1519431114390864
8	 1519431114390872
9	 1519431114390881
9	 1519431114390890
8	 1519431114390898
8	 1519431114390906
7	 1519431114390913
8	 1519431114390921
7	 1519431114390928
10	 1519431114390938
