# /lscratch1/kbferre/app-traces/mutrino/lulesh/125/rank-000.txt
 delta	 tstmp
17064	 1503728503191959
17100	 1503728503209059
17120	 1503728503226179
17066	 1503728503243245
17131	 1503728503260376
17099	 1503728503277475
16944	 1503728503294419
22027	 1503728503316446
15463	 1503728503331909
16809	 1503728503348718
17066	 1503728503365784
17097	 1503728503382881
17077	 1503728503399958
17007	 1503728503416965
17084	 1503728503434049
17127	 1503728503451176
17081	 1503728503468257
17061	 1503728503485318
17106	 1503728503502424
17157	 1503728503519581
17021	 1503728503536602
17172	 1503728503553774
17112	 1503728503570886
17006	 1503728503587892
17096	 1503728503604988
17012	 1503728503622000
17289	 1503728503639289
17074	 1503728503656363
16994	 1503728503673357
17141	 1503728503690498
17166	 1503728503707664
17142	 1503728503724806
17057	 1503728503741863
17138	 1503728503759001
17190	 1503728503776191
16973	 1503728503793164
17154	 1503728503810318
17117	 1503728503827435
17116	 1503728503844551
17081	 1503728503861632
17162	 1503728503878794
17145	 1503728503895939
17013	 1503728503912952
17050	 1503728503930002
17247	 1503728503947249
17061	 1503728503964310
17040	 1503728503981350
17056	 1503728503998406
17090	 1503728504015496
17115	 1503728504032611
17312	 1503728504049923
17042	 1503728504066965
17113	 1503728504084078
17049	 1503728504101127
17064	 1503728504118191
17237	 1503728504135428
17040	 1503728504152468
17012	 1503728504169480
17151	 1503728504186631
17166	 1503728504203797
17005	 1503728504220802
17126	 1503728504237928
17151	 1503728504255079
17193	 1503728504272272
17048	 1503728504289320
17033	 1503728504306353
17214	 1503728504323567
17094	 1503728504340661
17102	 1503728504357763
17229	 1503728504374992
17115	 1503728504392107
17128	 1503728504409235
17130	 1503728504426365
17039	 1503728504443404
17185	 1503728504460589
16992	 1503728504477581
17180	 1503728504494761
17046	 1503728504511807
17070	 1503728504528877
17118	 1503728504545995
17176	 1503728504563171
17180	 1503728504580351
17048	 1503728504597399
17179	 1503728504614578
17049	 1503728504631627
17072	 1503728504648699
17081	 1503728504665780
17207	 1503728504682987
17044	 1503728504700031
16974	 1503728504717005
17125	 1503728504734130
17115	 1503728504751245
17123	 1503728504768368
17052	 1503728504785420
17083	 1503728504802503
17150	 1503728504819653
17136	 1503728504836789
17080	 1503728504853869
17146	 1503728504871015
17055	 1503728504888070
17034	 1503728504905104
17104	 1503728504922208
17362	 1503728504939570
17114	 1503728504956684
17010	 1503728504973694
17099	 1503728504990793
17245	 1503728505008038
16950	 1503728505024988
17116	 1503728505042104
17107	 1503728505059211
17038	 1503728505076249
20192	 1503728505096441
17037	 1503728505113478
17135	 1503728505130613
17020	 1503728505147633
25628	 1503728505173261
22748	 1503728505196009
22603	 1503728505218612
15103	 1503728505233715
21566	 1503728505255281
26275	 1503728505281556
16672	 1503728505298228
15825	 1503728505314053
16961	 1503728505331014
16954	 1503728505347968
17085	 1503728505365053
17030	 1503728505382083
17229	 1503728505399312
16962	 1503728505416274
17059	 1503728505433333
17022	 1503728505450355
17115	 1503728505467470
17079	 1503728505484549
17037	 1503728505501586
17005	 1503728505518591
17121	 1503728505535712
17110	 1503728505552822
21255	 1503728505574077
17191	 1503728505591268
16976	 1503728505608244
16976	 1503728505625220
17087	 1503728505642307
16966	 1503728505659273
35977	 1503728505695250
17069	 1503728505712319
17081	 1503728505729400
17008	 1503728505746408
17111	 1503728505763519
20957	 1503728505784476
15117	 1503728505799593
17092	 1503728505816685
16971	 1503728505833656
17121	 1503728505850777
17056	 1503728505867833
17057	 1503728505884890
17122	 1503728505902012
16957	 1503728505918969
17176	 1503728505936145
17151	 1503728505953296
16887	 1503728505970183
17100	 1503728505987283
17074	 1503728506004357
16980	 1503728506021337
17030	 1503728506038367
19568	 1503728506057935
17019	 1503728506074954
17105	 1503728506092059
17014	 1503728506109073
17126	 1503728506126199
18556	 1503728506144755
17433	 1503728506162188
16037	 1503728506178225
17148	 1503728506195373
16986	 1503728506212359
17178	 1503728506229537
17083	 1503728506246620
17006	 1503728506263626
17143	 1503728506280769
16883	 1503728506297652
17102	 1503728506314754
17293	 1503728506332047
17024	 1503728506349071
17078	 1503728506366149
17178	 1503728506383327
16987	 1503728506400314
17136	 1503728506417450
16964	 1503728506434414
17230	 1503728506451644
16982	 1503728506468626
17037	 1503728506485663
17037	 1503728506502700
17137	 1503728506519837
16961	 1503728506536798
17070	 1503728506553868
17119	 1503728506570987
16880	 1503728506587867
17089	 1503728506604956
17038	 1503728506621994
17174	 1503728506639168
17058	 1503728506656226
17109	 1503728506673335
17012	 1503728506690347
17014	 1503728506707361
17089	 1503728506724450
17091	 1503728506741541
17087	 1503728506758628
17135	 1503728506775763
17042	 1503728506792805
17066	 1503728506809871
17113	 1503728506826984
16995	 1503728506843979
17135	 1503728506861114
17047	 1503728506878161
17135	 1503728506895296
17168	 1503728506912464
17082	 1503728506929546
16981	 1503728506946527
17119	 1503728506963646
17092	 1503728506980738
17025	 1503728506997763
17180	 1503728507014943
17149	 1503728507032092
16995	 1503728507049087
17114	 1503728507066201
17041	 1503728507083242
16978	 1503728507100220
17048	 1503728507117268
17077	 1503728507134345
17232	 1503728507151577
17151	 1503728507168728
17022	 1503728507185750
17062	 1503728507202812
22300	 1503728507225112
18934	 1503728507244046
14916	 1503728507258962
17113	 1503728507276075
17150	 1503728507293225
16999	 1503728507310224
17157	 1503728507327381
16968	 1503728507344349
