# /lscratch1/kbferre/app-traces/mutrino/milc/128/rank-000.txt
 delta	 tstmp
2996	 1504215489428563
326	 1504215489428889
3069	 1504215489431958
321	 1504215489432279
332	 1504215489432611
2991	 1504215489435602
2861	 1504215489438463
3185	 1504215489441648
329	 1504215489441977
3072	 1504215489445049
3158	 1504215489448207
3297	 1504215489451504
332	 1504215489451836
318	 1504215489452154
333	 1504215489452487
3073	 1504215489455560
376	 1504215489455936
2925	 1504215489458861
335	 1504215489459196
3164	 1504215489462360
316	 1504215489462676
317	 1504215489462993
330	 1504215489463323
320	 1504215489463643
3446	 1504215489467089
395	 1504215489467484
374	 1504215489467858
5929	 1504215489473787
3166	 1504215489476953
338	 1504215489477291
378	 1504215489477669
336	 1504215489478005
354	 1504215489478359
323	 1504215489478682
380	 1504215489479062
323	 1504215489479385
322	 1504215489479707
331	 1504215489480038
360	 1504215489480398
338	 1504215489480736
321	 1504215489481057
330	 1504215489481387
331	 1504215489481718
352	 1504215489482070
414	 1504215489482484
424	 1504215489482908
343	 1504215489483251
338	 1504215489483589
326	 1504215489483915
3025	 1504215489486940
333	 1504215489487273
3282	 1504215489490555
349	 1504215489490904
323	 1504215489491227
346	 1504215489491573
338	 1504215489491911
328	 1504215489492239
3029	 1504215489495268
335	 1504215489495603
3171	 1504215489498774
3042	 1504215489501816
431	 1504215489502247
3337	 1504215489505584
321	 1504215489505905
3106	 1504215489509011
2943	 1504215489511954
335	 1504215489512289
3111	 1504215489515400
329	 1504215489515729
323	 1504215489516052
333	 1504215489516385
330	 1504215489516715
3074	 1504215489519789
49	 1504215489519838
2973	 1504215489522811
322	 1504215489523133
2971	 1504215489526104
332	 1504215489526436
3118	 1504215489529554
353	 1504215489529907
2907	 1504215489532814
315	 1504215489533129
3107	 1504215489536236
317	 1504215489536553
315	 1504215489536868
318	 1504215489537186
330	 1504215489537516
329	 1504215489537845
318	 1504215489538163
321	 1504215489538484
322	 1504215489538806
643	 1504215489539449
368	 1504215489539817
66	 1504215489539883
384	 1504215489540267
338	 1504215489540605
355	 1504215489540960
349	 1504215489541309
384	 1504215489541693
604	 1504215489542297
333	 1504215489542630
76	 1504215489542706
339	 1504215489543045
336	 1504215489543381
328	 1504215489543709
314	 1504215489544023
355	 1504215489544378
831	 1504215489545209
416	 1504215489545625
55	 1504215489545680
333	 1504215489546013
335	 1504215489546348
355	 1504215489546703
321	 1504215489547024
336	 1504215489547360
594	 1504215489547954
397	 1504215489548351
64	 1504215489548415
348	 1504215489548763
405	 1504215489549168
403	 1504215489549571
402	 1504215489549973
399	 1504215489550372
587	 1504215489550959
337	 1504215489551296
57	 1504215489551353
337	 1504215489551690
326	 1504215489552016
314	 1504215489552330
313	 1504215489552643
330	 1504215489552973
585	 1504215489553558
316	 1504215489553874
55	 1504215489553929
335	 1504215489554264
336	 1504215489554600
314	 1504215489554914
313	 1504215489555227
325	 1504215489555552
586	 1504215489556138
315	 1504215489556453
56	 1504215489556509
337	 1504215489556846
325	 1504215489557171
317	 1504215489557488
312	 1504215489557800
324	 1504215489558124
654	 1504215489558778
320	 1504215489559098
57	 1504215489559155
367	 1504215489559522
343	 1504215489559865
324	 1504215489560189
311	 1504215489560500
318	 1504215489560818
326	 1504215489561144
338	 1504215489561482
320	 1504215489561802
367	 1504215489562169
331	 1504215489562500
344	 1504215489562844
315	 1504215489563159
362	 1504215489563521
323	 1504215489563844
318	 1504215489564162
318	 1504215489564480
338	 1504215489564818
325	 1504215489565143
317	 1504215489565460
326	 1504215489565786
468	 1504215489566254
377	 1504215489566631
416	 1504215489567047
431	 1504215489567478
338	 1504215489567816
326	 1504215489568142
318	 1504215489568460
313	 1504215489568773
330	 1504215489569103
322	 1504215489569425
318	 1504215489569743
316	 1504215489570059
346	 1504215489570405
319	 1504215489570724
311	 1504215489571035
313	 1504215489571348
372	 1504215489571720
332	 1504215489572052
325	 1504215489572377
333	 1504215489572710
348	 1504215489573058
379	 1504215489573437
371	 1504215489573808
361	 1504215489574169
331	 1504215489574500
327	 1504215489574827
335	 1504215489575162
316	 1504215489575478
336	 1504215489575814
331	 1504215489576145
316	 1504215489576461
318	 1504215489576779
322	 1504215489577101
323	 1504215489577424
319	 1504215489577743
312	 1504215489578055
349	 1504215489578404
312	 1504215489578716
317	 1504215489579033
312	 1504215489579345
325	 1504215489579670
324	 1504215489579994
316	 1504215489580310
371	 1504215489580681
326	 1504215489581007
334	 1504215489581341
314	 1504215489581655
331	 1504215489581986
394	 1504215489582380
357	 1504215489582737
358	 1504215489583095
372	 1504215489583467
363	 1504215489583830
331	 1504215489584161
344	 1504215489584505
326	 1504215489584831
366	 1504215489585197
326	 1504215489585523
328	 1504215489585851
393	 1504215489586244
341	 1504215489586585
327	 1504215489586912
321	 1504215489587233
315	 1504215489587548
334	 1504215489587882
328	 1504215489588210
328	 1504215489588538
320	 1504215489588858
326	 1504215489589184
327	 1504215489589511
489	 1504215489590000
439	 1504215489590439
323	 1504215489590762
321	 1504215489591083
322	 1504215489591405
322	 1504215489591727
327	 1504215489592054
325	 1504215489592379
317	 1504215489592696
320	 1504215489593016
327	 1504215489593343
325	 1504215489593668
315	 1504215489593983
318	 1504215489594301
342	 1504215489594643
325	 1504215489594968
316	 1504215489595284
321	 1504215489595605
334	 1504215489595939
360	 1504215489596299
341	 1504215489596640
382	 1504215489597022
492	 1504215489597514
451	 1504215489597965
317	 1504215489598282
321	 1504215489598603
343	 1504215489598946
320	 1504215489599266
329	 1504215489599595
316	 1504215489599911
322	 1504215489600233
322	 1504215489600555
312	 1504215489600867
310	 1504215489601177
324	 1504215489601501
314	 1504215489601815
316	 1504215489602131
331	 1504215489602462
311	 1504215489602773
323	 1504215489603096
312	 1504215489603408
337	 1504215489603745
320	 1504215489604065
317	 1504215489604382
327	 1504215489604709
321	 1504215489605030
341	 1504215489605371
450	 1504215489605821
455	 1504215489606276
357	 1504215489606633
334	 1504215489606967
357	 1504215489607324
324	 1504215489607648
317	 1504215489607965
333	 1504215489608298
329	 1504215489608627
308	 1504215489608935
303	 1504215489609238
323	 1504215489609561
317	 1504215489609878
320	 1504215489610198
324	 1504215489610522
339	 1504215489610861
481	 1504215489611342
474	 1504215489611816
334	 1504215489612150
331	 1504215489612481
323	 1504215489612804
360	 1504215489613164
317	 1504215489613481
333	 1504215489613814
324	 1504215489614138
320	 1504215489614458
321	 1504215489614779
322	 1504215489615101
324	 1504215489615425
397	 1504215489615822
322	 1504215489616144
341	 1504215489616485
402	 1504215489616887
367	 1504215489617254
385	 1504215489617639
410	 1504215489618049
333	 1504215489618382
314	 1504215489618696
315	 1504215489619011
328	 1504215489619339
322	 1504215489619661
317	 1504215489619978
313	 1504215489620291
320	 1504215489620611
321	 1504215489620932
324	 1504215489621256
320	 1504215489621576
332	 1504215489621908
